window_days,threshold_mm,H,F,M,C,POD,FAR,CSI,HSS,ETS,FPR
3,56.8000,149,2004,170,13748,0.4671,0.9308,0.0641,0.0891,0.0466,0.1272
3,57.4000,144,1979,175,13773,0.4514,0.9322,0.0627,0.0864,0.0452,0.1256
3,58.0000,142,1950,177,13802,0.4451,0.9321,0.0626,0.0863,0.0451,0.1238
3,58.5000,137,1929,182,13823,0.4295,0.9337,0.0609,0.0834,0.0435,0.1225
3,59.4000,137,1900,182,13852,0.4295,0.9327,0.0617,0.0849,0.0443,0.1206
3,60.0000,136,1872,183,13880,0.4263,0.9323,0.0621,0.0856,0.0447,0.1188
3,60.7000,134,1847,185,13905,0.4201,0.9324,0.0619,0.0852,0.0445,0.1173
3,61.4000,133,1823,186,13929,0.4169,0.9320,0.0621,0.0857,0.0448,0.1157
3,62.3000,129,1795,190,13957,0.4044,0.9330,0.0610,0.0838,0.0437,0.1140
3,62.7000,127,1770,192,13982,0.3981,0.9331,0.0608,0.0835,0.0436,0.1124
3,63.5000,123,1744,196,14008,0.3856,0.9341,0.0596,0.0814,0.0424,0.1107
3,64.2000,119,1721,200,14031,0.3730,0.9353,0.0583,0.0791,0.0412,0.1093
3,64.9000,118,1694,201,14058,0.3699,0.9349,0.0586,0.0797,0.0415,0.1075
3,65.4000,118,1665,201,14087,0.3699,0.9338,0.0595,0.0813,0.0424,0.1057
3,66.1000,115,1637,204,14115,0.3605,0.9344,0.0588,0.0802,0.0418,0.1039
3,67.0000,114,1613,205,14139,0.3574,0.9340,0.0590,0.0806,0.0420,0.1024
3,67.5000,114,1588,205,14164,0.3574,0.9330,0.0598,0.0821,0.0428,0.1008
3,68.3000,109,1561,210,14191,0.3417,0.9347,0.0580,0.0789,0.0411,0.0991
3,68.9000,108,1535,211,14217,0.3386,0.9343,0.0583,0.0795,0.0414,0.0974
3,69.7000,105,1509,214,14243,0.3292,0.9349,0.0574,0.0781,0.0406,0.0958
3,70.4000,103,1478,216,14274,0.3229,0.9349,0.0573,0.0780,0.0406,0.0938
3,71.0000,102,1455,217,14297,0.3197,0.9345,0.0575,0.0784,0.0408,0.0924
3,71.6000,102,1426,217,14326,0.3197,0.9332,0.0585,0.0802,0.0418,0.0905
3,72.5000,100,1398,219,14354,0.3135,0.9332,0.0582,0.0800,0.0416,0.0888
3,73.3000,100,1372,219,14380,0.3135,0.9321,0.0591,0.0817,0.0426,0.0871
3,73.9000,99,1345,220,14407,0.3103,0.9314,0.0595,0.0825,0.0430,0.0854
3,74.7000,98,1320,221,14432,0.3072,0.9309,0.0598,0.0831,0.0434,0.0838
3,75.6000,98,1288,221,14464,0.3072,0.9293,0.0610,0.0854,0.0446,0.0818
