window_days,threshold_mm,H,F,M,C,POD,FAR,CSI,HSS,ETS,FPR
3,25.2000,45,1621,58,25669,0.4369,0.9730,0.0261,0.0441,0.0226,0.0594
3,25.4000,44,1604,59,25686,0.4272,0.9733,0.0258,0.0435,0.0222,0.0588
3,25.7000,43,1578,60,25712,0.4175,0.9735,0.0256,0.0431,0.0220,0.0578
3,26.1000,43,1556,60,25734,0.4175,0.9731,0.0259,0.0438,0.0224,0.0570
3,26.4000,42,1533,61,25757,0.4078,0.9733,0.0257,0.0433,0.0221,0.0562
3,26.8000,41,1510,62,25780,0.3981,0.9736,0.0254,0.0428,0.0219,0.0553
3,27.2000,40,1489,63,25801,0.3883,0.9738,0.0251,0.0423,0.0216,0.0546
3,27.5000,39,1467,64,25823,0.3786,0.9741,0.0248,0.0417,0.0213,0.0538
3,27.8000,37,1447,66,25843,0.3592,0.9751,0.0239,0.0399,0.0203,0.0530
3,28.2000,37,1420,66,25870,0.3592,0.9746,0.0243,0.0407,0.0208,0.0520
3,28.6000,37,1398,66,25892,0.3592,0.9742,0.0247,0.0414,0.0211,0.0512
3,29.0000,37,1378,66,25912,0.3592,0.9739,0.0250,0.0420,0.0215,0.0505
3,29.4000,37,1350,66,25940,0.3592,0.9733,0.0255,0.0430,0.0220,0.0495
3,29.7000,37,1328,66,25962,0.3592,0.9729,0.0259,0.0437,0.0223,0.0487
3,30.2000,35,1309,68,25981,0.3398,0.9740,0.0248,0.0417,0.0213,0.0480
3,30.7000,33,1288,70,26002,0.3204,0.9750,0.0237,0.0396,0.0202,0.0472
3,31.3000,32,1266,71,26024,0.3107,0.9753,0.0234,0.0390,0.0199,0.0464
3,31.7000,30,1244,73,26046,0.2913,0.9765,0.0223,0.0369,0.0188,0.0456
3,32.1000,30,1223,73,26067,0.2913,0.9761,0.0226,0.0376,0.0191,0.0448
3,32.6000,28,1198,75,26092,0.2718,0.9772,0.0215,0.0354,0.0180,0.0439
3,33.1000,27,1177,76,26113,0.2621,0.9776,0.0211,0.0346,0.0176,0.0431
3,33.7000,27,1154,76,26136,0.2621,0.9771,0.0215,0.0354,0.0180,0.0423
3,34.2000,24,1132,79,26158,0.2330,0.9792,0.0194,0.0314,0.0160,0.0415
3,34.7000,24,1110,79,26180,0.2330,0.9788,0.0198,0.0321,0.0163,0.0407
3,35.3000,24,1090,79,26200,0.2330,0.9785,0.0201,0.0328,0.0167,0.0399
3,35.9000,24,1064,79,26226,0.2330,0.9779,0.0206,0.0337,0.0171,0.0390
3,36.4000,22,1044,81,26246,0.2136,0.9794,0.0192,0.0310,0.0157,0.0383
3,36.9000,20,1025,83,26265,0.1942,0.9809,0.0177,0.0282,0.0143,0.0376
3,37.4000,20,999,83,26291,0.1942,0.9804,0.0181,0.0290,0.0147,0.0366
3,38.0000,19,979,84,26311,0.1845,0.9810,0.0176,0.0279,0.0141,0.0359
3,38.6000,19,956,84,26334,0.1845,0.9805,0.0179,0.0286,0.0145,0.0350
3,39.3000,19,930,84,26360,0.1845,0.9800,0.0184,0.0295,0.0150,0.0341
3,39.7000,17,910,86,26380,0.1650,0.9817,0.0168,0.0264,0.0134,0.0333
3,40.3000,17,888,86,26402,0.1650,0.9812,0.0172,0.0272,0.0138,0.0325
3,40.7000,17,864,86,26426,0.1650,0.9807,0.0176,0.0280,0.0142,0.0317
3,41.6000,17,837,86,26453,0.1650,0.9801,0.0181,0.0290,0.0147,0.0307
3,42.0000,17,817,86,26473,0.1650,0.9796,0.0185,0.0298,0.0151,0.0299
3,42.8000,17,793,86,26497,0.1650,0.9790,0.0190,0.0308,0.0156,0.0291
3,43.6000,17,768,86,26522,0.1650,0.9783,0.0195,0.0319,0.0162,0.0281
3,44.2000,17,746,86,26544,0.1650,0.9777,0.0200,0.0329,0.0167,0.0273
3,44.8000,16,726,87,26564,0.1553,0.9784,0.0193,0.0315,0.0160,0.0266
3,45.6000,16,704,87,26586,0.1553,0.9778,0.0198,0.0325,0.0165,0.0258
3,46.2000,15,680,88,26610,0.1456,0.9784,0.0192,0.0312,0.0159,0.0249
3,47.1000,14,657,89,26633,0.1359,0.9791,0.0184,0.0299,0.0152,0.0241
3,48.1000,14,635,89,26655,0.1359,0.9784,0.0190,0.0309,0.0157,0.0233
3,48.8000,14,611,89,26679,0.1359,0.9776,0.0196,0.0322,0.0164,0.0224
3,50.1000,13,590,90,26700,0.1262,0.9784,0.0188,0.0306,0.0155,0.0216
3,51.1000,13,567,90,26723,0.1262,0.9776,0.0194,0.0319,0.0162,0.0208
3,51.8000,13,544,90,26746,0.1262,0.9767,0.0201,0.0333,0.0169,0.0199
3,52.9000,13,519,90,26771,0.1262,0.9756,0.0209,0.0349,0.0177,0.0190
3,53.8000,13,498,90,26792,0.1262,0.9746,0.0216,0.0363,0.0185,0.0182
3,55.0000,12,474,91,26816,0.1165,0.9753,0.0208,0.0348,0.0177,0.0174
3,55.7000,12,453,91,26837,0.1165,0.9742,0.0216,0.0363,0.0185,0.0166
3,56.5000,12,428,91,26862,0.1165,0.9727,0.0226,0.0383,0.0195,0.0157
3,57.8000,12,406,91,26884,0.1165,0.9713,0.0236,0.0403,0.0206,0.0149
3,58.9000,12,381,91,26909,0.1165,0.9695,0.0248,0.0427,0.0218,0.0140
3,60.6000,12,360,91,26930,0.1165,0.9677,0.0259,0.0449,0.0230,0.0132
3,62.2000,12,335,91,26955,0.1165,0.9654,0.0274,0.0478,0.0245,0.0123
3,63.7000,11,314,92,26976,0.1068,0.9662,0.0264,0.0460,0.0235,0.0115
3,65.2000,11,290,92,27000,0.1068,0.9635,0.0280,0.0491,0.0252,0.0106
3,67.5000,11,268,92,27022,0.1068,0.9606,0.0296,0.0524,0.0269,0.0098
3,68.9000,10,245,93,27045,0.0971,0.9608,0.0287,0.0508,0.0261,0.0090
3,71.5000,9,223,94,27067,0.0874,0.9612,0.0276,0.0488,0.0250,0.0082
3,73.0000,9,200,94,27090,0.0874,0.9569,0.0297,0.0529,0.0272,0.0073
3,76.0000,4,180,99,27110,0.0388,0.9783,0.0141,0.0232,0.0117,0.0066
3,78.1000,4,159,99,27131,0.0388,0.9755,0.0153,0.0256,0.0130,0.0058
3,81.1000,3,136,100,27154,0.0291,0.9784,0.0126,0.0206,0.0104,0.0050
3,84.2000,2,114,101,27176,0.0194,0.9828,0.0092,0.0143,0.0072,0.0042
3,88.6000,1,91,102,27199,0.0097,0.9891,0.0052,0.0067,0.0034,0.0033
3,93.8000,0,70,103,27220,0.0000,1.0000,0.0000,-0.0031,-0.0015,0.0026
3,99.8000,0,47,103,27243,0.0000,1.0000,0.0000,-0.0024,-0.0012,0.0017
